Gen,Time,ProgSizeMean,ProgSizeStd,FitMean,FitStd
0,1.328125,18.52,20.12693054922517,0.030146095410267713,0.15073047705133852
1,1.15625,31.880000000000003,26.777353615819965,0.13609289584702958,0.277808330478304
2,1.828125,39.239999999999995,27.454932768690828,0.31474705440827766,0.30959353907412784
3,3.4375,47.08,19.07424091980246,0.5636698894620681,0.16978159069540621
4,3.046875,37.48,24.666306303673977,0.5127685550374848,0.1952358122223362
5,2.6875,44.76,14.73453992042733,0.6424643485894028,0.20697958183114668
6,2.90625,34.76,4.77214137817954,0.5914575030315598,0.22495067460298324
7,4.046875,35.0,2.943920288775949,0.5947390778511202,0.01802219623701132
8,3.5625,35.0,3.6514837167011076,0.5280216723183299,0.23574290539633366
9,4.359375,33.4,7.393691004272944,0.512361727211114,0.17296982532201893
