Gen,Time,ProgSizeMean,ProgSizeStd,FitMean,FitStd
0,17.953125,20.272000000000002,20.09450603251454,0.035001499735482014,0.12710965648730205
1,31.6875,20.848,19.148775375819053,0.1500917224971321,0.22004406524923867
2,46.015625,17.696,15.80235557652933,0.32195356793710767,0.2531779445886362
3,42.671875,14.760000000000002,14.247609536692128,0.3240812337732757,0.25815498481817
4,35.53125,11.711999999999998,6.929728750986513,0.38823669717630277,0.3058076181238112
5,23.203125,12.336,6.592491774068789,0.4625907036409169,0.3423679419205071
6,28.234375,14.303999999999998,6.129426029720505,0.5279128719118179,0.333727218526258
7,29.515625,14.728,7.713104688498855,0.44531662996586535,0.3350343522668855
8,22.453125,15.536,10.72252742488963,0.5591294611525264,0.28782514568951384
9,38.28125,19.656,10.441732764849437,0.5184095287662887,0.2517683396010148
